county,business_id,business_name,review_count,rating,transaction_forms,url,state,popularity
Alameda County,MTsj7IyTVS9DwiMK9rEJbw,In-N-Out Burger,228,4.0,delivery,https://www.yelp.com/biz/in-n-out-burger-livermore?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.849195418296947
Alameda County,_qTHudK_cZXMSX9lCRvBgQ,Chick-fil-A,388,3.5,,https://www.yelp.com/biz/chick-fil-a-pleasanton-2?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.8165598915170604
Alameda County,TQrPPNiBTDVYG6Eg1d0hCw,Jollibee,80,2.5,,https://www.yelp.com/biz/jollibee-hayward?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.8214737853063028
Alameda County,KtUWpP6qUncBcDxlHJntXw,Jollibee,717,2.5,delivery,https://www.yelp.com/biz/jollibee-union-city?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.6561273305351154
Alameda County,gzwD--_8Ho5rOSGLy45cXQ,Shake Shack,1048,3.0,delivery,https://www.yelp.com/biz/shake-shack-palo-alto?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.6715438357178902
Alameda County,hDmOTIPfKWwYb3QOho_b9Q,Sonic Drive-In,641,3.0,,https://www.yelp.com/biz/sonic-drive-in-hayward-2?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.73783496866409
Alameda County,NHlgdPghxu2aY_G8mROoKg,Krispy Krunchy Chicken,186,4.0,pickup,https://www.yelp.com/biz/krispy-krunchy-chicken-hayward?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.847914052237564
Alameda County,Usx2SKFJLJJtrSMt9bnZ3g,Indigo Burger,77,4.5,,https://www.yelp.com/biz/indigo-burger-newark?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.852033970627005
Alameda County,QCq7eIazpZxXeKLBVztvyw,Habibi's Birria,105,4.5,"delivery, pickup",https://www.yelp.com/biz/habibis-birria-hayward?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.855595621357756
Alameda County,9uRS41szA4JEb9HtXmF7mA,Gus’s World Famous Fried Chicken,144,4.0,,https://www.yelp.com/biz/gus-s-world-famous-fried-chicken-oakland?adjust_creative=XVri7z5Gv4EHkTEtwSODpg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVri7z5Gv4EHkTEtwSODpg,CA,3.8466326861781814
